"2010" "2020" "2030" "2040" "2050" "2060" "2070" "2080" "2090" "2100" "2110" "2120" "2130" "2140" "2150" "2160" "2170" "2180" "2190" "2200"
-58.5521495668594 -71.404079650928 -88.2161864580889 -114.02399609686 -147.138388339998 -164.137545753961 -170.27516706127 -173.95514221317 -190.757489801967 -204.276884223854 -155.324877360963 -203.002007199023 -203.891736335379 -202.005577667913 -238.577433732502 -273.518484958172 -294.320347674479 -307.97661074234 -326.63211191443 -347.788083419787
-29.1607537041955 -34.5699326952426 -33.2774069382675 -33.3219731629854 -38.3143033200941 -33.8508961825995 -22.9065810289784 -15.2854385563978 -15.0382961946067 -12.1129828183078 44.1806704319619 33.2201344895458 45.7884717594331 52.9377204296682 43.3702872456263 35.4001314037544 30.2253233699733 23.3752330480537 15.5158557144092 10.7843718154176
-24.4398347420968 -26.9641264733067 -22.515359960476 -19.9511731749295 -17.3448532408844 -10.3391555545197 1.90928243584537 10.9418968742744 14.8592944643853 20.3177275389945 69.8543162575665 61.7375435982097 78.4258780983766 82.5029078189187 75.4458328331836 69.2384812124186 68.6143512120478 66.2918920664229 66.6032796555682 62.9359171008165
-20.8788397532348 -22.3688553831591 -16.4781691436404 -9.9401548374942 -6.89253097388177 3.90148576836029 18.7535065505945 31.2568325421389 39.3030401265784 43.905393816879 89.270054249325 84.8229637176779 101.474309984534 110.504079956184 105.581002082986 103.905824491094 103.403433680739 104.138347773043 103.413478287414 102.087349357695
-18.5734475295536 -19.108108673074 -11.1993596422846 -3.94874192045538 2.53071539500535 16.3044841419597 33.6471787015164 46.8053189121328 55.7609091838003 64.1799300380662 106.604258584368 104.064834792075 122.396894524466 131.369964124422 129.027847035051 131.337678437212 133.162345350808 132.781416585944 136.624628324526 136.277260954496
-16.7129704113515 -15.5509210519766 -7.48044331412553 1.61992235313034 10.7752771393633 26.3433335290161 43.9242765916956 59.2456407688441 69.5529271815055 78.5473396571809 119.70297824079 119.561096004638 138.339708843763 148.467231275879 147.418925287432 150.205017828173 153.498409321552 156.519811851239 160.817798797427 162.262709083213
-15.3625353122475 -13.1877682870036 -3.85998872232998 6.34374149105803 16.6413027687063 34.0933348752941 52.922988628468 68.7532527035914 81.4947866574675 91.7960623770522 133.473603095729 133.580628072312 153.529482450238 163.98521409982 164.249167180464 167.436560945889 172.666930684386 177.883828245221 183.608651207519 186.587870841777
-13.9710245807424 -11.3343582127058 -0.793899377388598 10.6945664986235 22.9421440069131 41.2381513330817 61.2241287660855 79.3060627429743 92.3959063960233 103.640041696169 142.82504425305 146.824359769993 165.619484081188 177.90854672688 181.644944055013 185.242738830732 191.039437009458 198.079109496355 202.720583093719 206.123053211087
-12.6204521531571 -9.69135851865266 1.7470478039629 14.7844717941688 28.1293922005971 47.7565747235551 68.828547191971 86.7902500969851 100.743584462159 114.465509450923 151.906871978046 156.991488037906 177.766787046711 191.903271115168 194.721755392275 200.99661453785 207.658698668117 213.302481462575 220.072858937484 224.260749074688
-11.6389901925005 -8.05942568361342 4.67393622532612 17.7276475320028 32.9878658010523 53.2654900103366 75.1116007607818 94.8360450795001 110.548895445736 123.926716290898 160.052092853694 166.12742885612 187.549419279041 201.065474647941 205.708331048602 215.788959240901 222.82749694517 227.201041641676 233.847346608259 240.90696490307
-10.5637244674431 -6.43733032353944 6.37911260553057 21.425790155886 37.2310565896456 58.4158209943541 80.5136439153939 102.019068034636 118.765642320341 134.12843901508 166.471989119096 175.766371849562 196.400964858552 211.784881160343 218.158818130602 226.397014743544 234.600798724928 242.497657718674 250.459181975456 257.109418180597
-9.64955292255554 -4.96383712998341 8.61367428999743 24.4022246185111 41.9524961900486 63.162379578768 85.9075530500985 108.6935486044 125.531433358261 142.317914267879 173.099446777694 182.368171917802 204.723250890622 220.369198349104 227.16257913605 236.315791147002 246.505377248687 255.854636630783 264.463957305394 269.798326910929
-8.66089032592011 -3.540333963575 10.5232668391431 27.3291232234528 45.0458085469703 67.9995346406716 91.8420620324188 113.566409134162 132.121597518377 149.462059233956 180.170262194657 189.927966668105 211.815219618776 229.108122745833 237.040764969791 248.004405999379 257.866531452973 269.60082598363 279.086976756512 287.595888846
-7.86391872056404 -2.20288535609094 12.3736913550004 29.7318802490689 48.2466009593883 71.8570989486063 96.2781340902895 119.27021400442 138.587035551042 156.189460484314 186.822223189579 196.851936936932 219.9696799985 236.952258380469 244.426186906796 257.301842236573 269.268836152624 280.25100359708 292.115240224864 301.022894786903
